,0,1
0,6.267585406589626,-43.634276097623825
1,5.9254209978484225,-43.55462581253434
2,5.456528484291724,-43.360185641482104
3,4.900178101601095,-43.203919991325535
4,4.3755356783793085,-42.95605849781616
5,3.4121755079864804,-42.646184726428615
6,2.8392858931181943,-42.28710828664937
7,2.1250550912462627,-41.82149544878839
8,1.338408162578879,-41.20621039454388
9,0.7257453830299979,-40.652259418788326
10,0.134230673530289,-40.17642088821721
11,-1.2732504941293254,-38.8577448437926
12,-2.118634071633421,-37.99733335652534
13,-2.9324952555417063,-37.156210556898536
14,-3.491626153826047,-36.51095346241271
15,-4.246464090938234,-35.48523452251928
16,-4.853592846400083,-34.77482247703764
17,-23.342827711816735,-18.654659128498587
18,-24.16601027213013,-17.7248346023635
19,-24.720323196507128,-17.050863503025667
20,-25.848539159251754,-15.730602097220821
21,-26.71243851072416,-14.826081650338063
22,-27.42123602706406,-14.18784481549655
23,-28.13247649811899,-13.295173967415417
24,-28.73127459415641,-12.389252452646268
25,-29.147874007502747,-11.562121074916243
26,-29.775172563167015,-10.162524425629217
27,-29.72319178679152,-4.146839250450549
28,-29.923261844120532,-3.5873016057783835
29,-30.825754281751486,-1.7290940659029777
30,7.518376918344117,-41.62137899125012
31,7.276754260015013,-41.601655591600796
32,6.989499730975293,-41.374387628898816
33,6.006013391581388,-41.3770543128535
34,5.548335280844101,-41.07034772539821
35,4.517461454074258,-40.728528277647676
36,3.583876310419831,-40.390671249117325
37,2.836448471899983,-39.96845306945803
38,2.00331223239285,-39.73887212184829
39,1.0647352128169407,-38.663477607890904
40,0.4926277961818211,-38.30127329895747
41,-0.14749008662470775,-37.86231713765949
42,-1.6573625068115823,-37.05369030367366
43,-2.316358445275682,-36.43501086781751
44,-2.9189556460327055,-35.82397494375596
45,-3.6971936427513494,-34.85993478891022
46,-4.473979212005325,-33.952997764728316
47,-22.945335463668137,-18.253894017899103
48,-23.78916204774769,-17.26767518319502
49,-24.60576330948983,-16.525367984783966
50,-25.598027916092988,-15.384909212951612
51,-26.633701236154717,-13.73765303374698
52,-27.408973557133613,-12.736517943990656
53,-27.957066808210293,-12.06423026432582
54,-28.473198095554928,-11.42817606746998
55,-28.957268778848803,-10.709875026384488
56,-29.31573758906005,-5.170282512773826
